time,idx,total,i0_ax,i0_ay,i0_az,i0_gx,i0_gy,i0_gz,i1_ax,i1_ay,i1_az,i1_gx,i1_gy,i1_gz
1777407072.6927948,0,200,-10.41,-1.84,4.29,-71.68,8.96,0.0,-0.61,-8.58,6.13,0.0,-89.6,17.92
1777407072.692999,1,200,-10.41,-2.45,4.9,-80.64,8.96,0.0,-0.61,-9.19,6.74,-8.96,-98.56,17.92
1777407072.7032285,2,200,-11.03,-3.06,5.51,-80.64,8.96,0.0,-0.61,-9.19,7.35,-8.96,-98.56,17.92
1777407072.7912514,3,200,-11.64,-3.68,6.13,-89.6,8.96,0.0,-0.61,-9.8,7.96,-17.92,-98.56,17.92
1777407072.7918448,4,200,-11.64,-3.68,6.74,-89.6,8.96,0.0,-0.61,-10.41,8.58,-17.92,-98.56,26.88
1777407072.7920773,5,200,-12.25,-3.68,7.35,-107.52,17.92,0.0,-0.61,-10.41,9.19,-26.88,-107.52,26.88
1777407072.8157625,6,200,-12.25,-4.29,7.35,-107.52,17.92,8.96,-0.61,-11.03,9.8,-35.84,-116.48,26.88
1777407072.840513,7,200,-13.48,-6.74,7.96,-116.48,26.88,8.96,0.0,-11.03,10.41,-35.84,-116.48,26.88
1777407072.8607767,8,200,-13.48,-6.13,8.58,-125.44,35.84,17.92,0.0,-11.03,11.03,-53.76,-134.4,26.88
1777407072.8919091,9,200,-13.48,-7.35,9.8,-125.44,35.84,17.92,0.0,-11.03,11.64,-62.72,-134.4,26.88
1777407072.908632,10,200,-12.86,-7.35,10.41,-134.4,44.8,26.88,0.0,-11.03,11.64,-62.72,-134.4,26.88
1777407072.9491684,11,200,-12.86,-7.96,10.41,-134.4,44.8,26.88,0.0,-11.03,12.25,-80.64,-143.36,26.88
1777407072.9605546,12,200,-12.86,-8.58,10.41,-143.36,53.76,35.84,0.61,-11.03,12.25,-80.64,-143.36,26.88
1777407072.9915388,13,200,-12.86,-9.8,11.03,-152.32,71.68,53.76,1.23,-10.41,12.25,-98.56,-152.32,35.84
1777407073.008832,14,200,-12.25,-9.8,10.41,-152.32,89.6,62.72,1.23,-10.41,12.25,-125.44,-161.28,35.84
1777407073.0411303,15,200,-12.25,-9.8,9.8,-152.32,89.6,62.72,1.84,-10.41,12.25,-125.44,-161.28,35.84
1777407073.058176,16,200,-12.25,-9.19,9.19,-161.28,116.48,80.64,2.45,-10.41,12.25,-143.36,-170.24,44.8
1777407073.083348,17,200,-12.25,-9.19,8.58,-161.28,116.48,80.64,2.45,-11.03,11.64,-143.36,-170.24,53.76
1777407073.1105585,18,200,-12.25,-9.19,7.96,-170.24,134.4,98.56,2.45,-11.03,11.64,-161.28,-170.24,53.76
