time,idx,total,i0_ax,i0_ay,i0_az,i0_gx,i0_gy,i0_gz,i1_ax,i1_ay,i1_az,i1_gx,i1_gy,i1_gz
1777465711.4138706,0,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.4227967,1,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.4465206,2,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.5051017,3,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.5081532,4,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.520561,5,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.544583,6,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.574916,7,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.5907283,8,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.6240993,9,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.638881,10,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.6627293,11,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
1777465711.6867957,12,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,8.96,0.0,0.0
1777465711.7129183,13,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,8.96,0.0,0.0
1777465711.7374365,14,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,8.96,0.0,0.0
1777465711.7587245,15,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,8.96,0.0,0.0
1777465711.7827013,16,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,8.96,-8.96,0.0
1777465711.806752,17,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,-17.92,0.0
1777465711.8517604,18,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,-17.92,0.0
1777465711.8686464,19,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,9.8,0.0,-17.92,0.0
1777465711.8789184,20,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,10.41,0.0,-17.92,0.0
1777465711.9030554,21,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,10.41,8.96,-26.88,0.0
1777465711.9271765,22,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,10.41,8.96,-26.88,0.0
1777465711.9509811,23,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.0,0.0,10.41,8.96,-26.88,0.0
1777465711.9755945,24,200,-1.84,0.0,9.19,0.0,0.0,0.0,0.61,-0.61,10.41,8.96,-26.88,0.0
1777465711.9989667,25,200,-2.45,0.0,9.19,0.0,0.0,0.0,0.61,-0.61,10.41,8.96,-26.88,0.0
1777465712.0290122,26,200,-1.84,0.0,9.19,0.0,8.96,0.0,0.61,-0.61,9.8,8.96,-26.88,0.0
1777465712.0470572,27,200,-2.45,0.0,9.19,0.0,8.96,0.0,0.61,-1.23,9.8,8.96,-26.88,0.0
1777465712.0727577,28,200,-2.45,0.0,9.19,0.0,8.96,0.0,0.61,-1.23,9.8,8.96,-26.88,0.0
1777465712.0967119,29,200,-3.06,0.0,9.19,0.0,8.96,0.0,0.61,-1.23,9.19,8.96,-26.88,0.0
1777465712.1201177,30,200,-3.06,0.0,9.19,0.0,8.96,0.0,1.23,-1.23,8.58,8.96,-26.88,0.0
1777465712.145971,31,200,-2.45,0.0,9.8,0.0,8.96,8.96,0.61,-1.23,7.96,17.92,-17.92,0.0
1777465712.1716323,32,200,-3.06,0.0,9.19,0.0,8.96,8.96,0.61,-1.23,7.96,17.92,-17.92,0.0
1777465712.1939638,33,200,-2.45,0.0,9.19,-8.96,0.0,17.92,0.61,-1.84,7.96,26.88,0.0,0.0
1777465712.219567,34,200,-2.45,0.0,9.8,-8.96,0.0,17.92,0.61,-1.23,7.35,44.8,17.92,0.0
1777465712.244144,35,200,-2.45,0.0,9.19,-8.96,0.0,17.92,0.0,-0.61,7.35,44.8,17.92,0.0
1777465712.2689857,36,200,-1.84,0.0,9.8,-8.96,0.0,17.92,0.61,-0.61,7.35,62.72,44.8,0.0
1777465712.3127522,37,200,-1.84,0.61,9.19,-8.96,0.0,26.88,0.0,-0.61,7.96,62.72,44.8,8.96
1777465712.3190413,38,200,-2.45,0.61,9.8,-8.96,0.0,35.84,0.0,0.0,7.96,89.6,62.72,8.96
1777465712.3442822,39,200,-0.61,-0.61,9.19,-8.96,0.0,35.84,0.0,0.0,8.58,107.52,80.64,8.96
1777465712.3749623,40,200,0.0,-4.29,9.8,-17.92,8.96,35.84,0.0,0.0,8.58,107.52,80.64,8.96
1777465712.3960516,41,200,-1.84,0.0,8.58,-17.92,8.96,35.84,0.0,0.61,9.19,125.44,89.6,8.96
1777465712.4194288,42,200,-3.06,0.0,8.58,-26.88,0.0,26.88,-0.61,0.0,9.8,125.44,89.6,8.96
1777465712.4447784,43,200,-2.45,-1.23,9.19,-26.88,0.0,26.88,-0.61,0.61,10.41,125.44,98.56,8.96
1777465712.4692602,44,200,-2.45,-0.61,9.19,-8.96,0.0,0.0,-0.61,0.61,9.8,125.44,98.56,8.96
1777465712.4940984,45,200,-1.84,0.0,9.19,-8.96,0.0,0.0,0.0,0.61,9.8,125.44,98.56,0.0
1777465712.517976,46,200,-2.45,0.0,9.8,0.0,0.0,0.0,0.0,1.23,9.19,125.44,98.56,0.0
1777465712.5427182,47,200,-2.45,-0.61,9.8,0.0,0.0,0.0,0.61,1.23,8.58,125.44,89.6,0.0
1777465712.5675282,48,200,-2.45,0.0,9.19,0.0,0.0,0.0,0.61,1.23,7.96,116.48,62.72,0.0
1777465712.5910652,49,200,-2.45,0.0,9.8,0.0,0.0,0.0,0.61,1.23,8.58,116.48,62.72,0.0
1777465712.6216347,50,200,-2.45,0.0,9.19,0.0,0.0,0.0,0.0,1.23,9.19,107.52,35.84,8.96
