time,idx,total,i0_ax,i0_ay,i0_az,i0_gx,i0_gy,i0_gz,i1_ax,i1_ay,i1_az,i1_gx,i1_gy,i1_gz
1777407790.3721337,0,200,-8.58,1.23,2.45,0.0,0.0,0.0,-2.45,-7.96,4.29,0.0,0.0,0.0
1777407790.3741617,1,200,-8.58,1.23,2.45,0.0,0.0,0.0,-2.45,-7.96,4.29,0.0,0.0,0.0
1777407790.376153,2,200,-8.58,1.23,2.45,0.0,0.0,0.0,-1.84,-7.96,4.29,0.0,0.0,0.0
1777407790.376322,3,200,-8.58,1.23,2.45,0.0,0.0,0.0,-1.84,-7.96,4.29,0.0,0.0,0.0
1777407790.376707,4,200,-9.19,1.23,2.45,0.0,0.0,0.0,-2.45,-7.96,4.29,0.0,0.0,0.0
1777407790.3768773,5,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.29,0.0,0.0,0.0
1777407790.3984282,6,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.29,0.0,0.0,0.0
1777407790.4327824,7,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.29,0.0,-8.96,0.0
1777407790.4467843,8,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.29,0.0,-8.96,0.0
1777407790.4725056,9,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.29,0.0,-8.96,0.0
1777407790.4953346,10,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-7.96,4.9,0.0,-8.96,0.0
1777407790.5188491,11,200,-9.19,1.23,2.45,-8.96,0.0,0.0,-2.45,-8.58,4.9,0.0,-8.96,0.0
1777407790.5798442,12,200,-9.19,1.84,3.06,-8.96,0.0,0.0,-2.45,-8.58,5.51,0.0,-8.96,0.0
1777407790.5801134,13,200,-9.8,1.84,3.06,-8.96,0.0,0.0,-2.45,-8.58,5.51,0.0,-8.96,0.0
1777407790.5949385,14,200,-10.41,1.84,3.68,-8.96,0.0,0.0,-2.45,-8.58,6.13,0.0,-8.96,0.0
1777407790.617468,15,200,-10.41,1.23,4.29,-17.92,0.0,0.0,-3.06,-8.58,6.74,-8.96,-17.92,0.0
1777407790.6698482,16,200,-11.03,0.0,4.9,-26.88,8.96,0.0,-3.68,-9.19,7.35,-8.96,-17.92,0.0
1777407790.6714623,17,200,-12.25,0.0,6.13,-26.88,8.96,0.0,-3.68,-9.19,8.58,-8.96,-26.88,8.96
1777407790.69164,18,200,-12.86,-1.23,6.74,-44.8,8.96,0.0,-3.68,-9.8,9.19,-8.96,-26.88,8.96
1777407790.7140608,19,200,-13.48,-2.45,7.96,-44.8,8.96,0.0,-3.68,-9.8,9.8,-17.92,-35.84,8.96
1777407790.7403483,20,200,-14.09,-3.06,8.58,-44.8,17.92,0.0,-3.68,-10.41,9.8,-35.84,-35.84,8.96
1777407790.7645686,21,200,-14.09,-3.06,9.8,-44.8,17.92,0.0,-3.68,-11.03,9.8,-35.84,-35.84,8.96
1777407790.7893524,22,200,-14.09,-3.06,9.8,-44.8,26.88,0.0,-3.68,-11.64,10.41,-53.76,-35.84,17.92
1777407790.8177483,23,200,-14.09,-3.06,9.19,-44.8,44.8,17.92,-3.06,-11.64,10.41,-53.76,-35.84,17.92
1777407790.842745,24,200,-14.09,-3.06,9.19,-44.8,44.8,17.92,-3.06,-11.03,10.41,-71.68,-35.84,17.92
1777407790.8643222,25,200,-13.48,-2.45,8.58,-35.84,62.72,26.88,-3.06,-11.03,9.8,-71.68,-35.84,17.92
1777407790.889882,26,200,-13.48,-2.45,7.35,-35.84,62.72,26.88,-2.45,-10.41,9.19,-89.6,-35.84,17.92
1777407790.914131,27,200,-12.86,-1.84,7.35,-35.84,80.64,44.8,-2.45,-9.8,8.58,-107.52,-26.88,17.92
1777407790.9604337,28,200,-12.25,-2.45,6.74,-35.84,80.64,53.76,-2.45,-9.8,7.96,-107.52,-26.88,17.92
1777407790.9701087,29,200,-11.64,-1.84,5.51,-35.84,98.56,53.76,-2.45,-9.8,7.35,-116.48,-26.88,17.92
1777407790.9958007,30,200,-11.03,-1.23,4.9,-35.84,116.48,71.68,-1.84,-9.19,6.74,-134.4,-17.92,26.88
1777407791.0206695,31,200,-11.03,-1.84,4.9,-35.84,116.48,71.68,-1.84,-9.19,6.74,-134.4,-17.92,26.88
1777407791.0470612,32,200,-10.41,-1.23,4.29,-35.84,125.44,89.6,-1.84,-9.19,6.13,-143.36,-17.92,26.88
1777407791.070915,33,200,-9.8,-1.23,3.68,-35.84,125.44,89.6,-1.84,-9.19,5.51,-143.36,-17.92,26.88
1777407791.0960333,34,200,-9.19,-1.23,3.68,-44.8,143.36,107.52,-1.23,-9.19,5.51,-152.32,-17.92,26.88
1777407791.1204898,35,200,-9.19,-1.23,2.45,-53.76,152.32,125.44,-1.23,-9.19,4.9,-161.28,-26.88,35.84
1777407791.171,36,200,-8.58,-1.23,1.84,-53.76,152.32,125.44,-0.61,-9.19,4.9,-161.28,-26.88,35.84
1777407791.1717322,37,200,-8.58,-0.61,1.23,-71.68,161.28,143.36,-0.61,-8.58,4.29,-170.24,-26.88,35.84
1777407791.196456,38,200,-7.96,-0.61,0.61,-71.68,161.28,143.36,0.0,-8.58,3.68,-170.24,-26.88,35.84
1777407791.2205033,39,200,-7.35,-1.23,0.0,-80.64,170.24,161.28,0.0,-7.96,3.68,-179.2,-35.84,35.84
1777407791.268354,40,200,-7.35,-1.23,0.0,-98.56,179.2,170.24,0.61,-7.96,3.68,-188.16,-53.76,44.8
1777407791.2703373,41,200,-6.74,-1.23,0.0,-98.56,179.2,170.24,0.61,-7.35,3.06,-188.16,-53.76,44.8
1777407791.2952912,42,200,-6.13,-0.61,0.0,-107.52,188.16,179.2,1.23,-7.35,3.06,-197.12,-53.76,53.76
1777407791.3209722,43,200,-6.13,-1.23,-0.61,-107.52,188.16,179.2,1.23,-6.74,2.45,-197.12,-53.76,62.72
1777407791.3452973,44,200,-5.51,-1.23,-0.61,-116.48,188.16,188.16,1.84,-6.74,2.45,-206.08,-62.72,62.72
1777407791.3706388,45,200,-4.9,-1.23,-0.61,-125.44,197.12,197.12,1.84,-6.74,2.45,-206.08,-62.72,71.68
1777407791.400477,46,200,-4.9,-1.23,-0.61,-125.44,197.12,197.12,1.23,-6.13,1.84,-206.08,-62.72,71.68
1777407791.4207482,47,200,-4.29,-0.61,-1.23,-134.4,197.12,206.08,1.23,-5.51,1.84,-215.04,-53.76,71.68
1777407791.4485645,48,200,-3.68,0.0,-1.23,-134.4,197.12,206.08,1.23,-5.51,1.84,-224.0,-53.76,80.64
1777407791.470708,49,200,-3.68,0.0,-1.84,-134.4,197.12,215.04,0.61,-4.9,1.23,-224.0,-53.76,80.64
1777407791.4953122,50,200,-3.06,0.0,-1.84,-143.36,197.12,224.0,0.61,-4.9,0.61,-232.96,-53.76,89.6
1777407791.5217597,51,200,-3.06,0.0,-1.84,-143.36,197.12,224.0,0.61,-4.9,0.61,-232.96,-53.76,89.6
1777407791.5541637,52,200,-2.45,0.0,-1.84,-152.32,197.12,224.0,0.0,-4.29,0.61,-232.96,-62.72,98.56
1777407791.5728242,53,200,-2.45,0.61,-1.84,-152.32,197.12,224.0,0.0,-4.29,0.0,-232.96,-62.72,107.52
1777407791.5987084,54,200,-1.84,0.61,-1.84,-161.28,188.16,224.0,0.0,-4.29,0.0,-241.92,-62.72,107.52
1777407791.6572034,55,200,-1.84,0.61,-1.23,-161.28,188.16,224.0,0.0,-3.68,0.0,-250.88,-62.72,116.48
1777407791.6574771,56,200,-1.23,1.23,-1.23,-161.28,179.2,232.96,0.0,-3.68,-0.61,-250.88,-62.72,116.48
1777407791.6708293,57,200,-0.61,1.23,-1.23,-170.24,170.24,232.96,-0.61,-3.68,-1.23,-250.88,-71.68,125.44
1777407791.695355,58,200,-0.61,1.84,-1.23,-170.24,170.24,232.96,-0.61,-3.68,-1.23,-259.84,-71.68,134.4
1777407791.7202053,59,200,-0.61,2.45,-1.23,-170.24,170.24,241.92,-0.61,-3.68,-1.84,-259.84,-71.68,134.4
1777407791.7459016,60,200,0.0,3.06,-1.23,-170.24,161.28,250.88,-1.23,-3.68,-2.45,-259.84,-71.68,134.4
1777407791.7708485,61,200,0.0,3.68,-1.23,-170.24,161.28,250.88,-1.23,-3.68,-3.06,-268.8,-62.72,143.36
1777407791.795663,62,200,0.61,3.68,-1.23,-170.24,152.32,250.88,-1.84,-3.06,-3.68,-268.8,-62.72,143.36
